"Forest/Other wooded land (code)","Forest/Other wooded land","FRA categories (code)","FRA categories","Year","Country (code)","Country","Value","Flag"
"1","Other wooded land","0","Carbon in above-ground biomass","2000","7653870","Falkland Islands","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","23","Madagascar","799",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","34","Maldives","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","68","Mali","82.91",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","139","Malta","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","163","Latvia","0.68",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","27","Lesotho","0.79",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","58","Libyan Arab Jamahiriya","1.26",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","164","Lithuania","0.65",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","73","Kenya","281.9",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","114","Kiribati","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","93","Kuwait","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","39","Lao People's Democratic Republic","27",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","137","Italy","21.2",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","191","Jamaica","20.34",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","643000371","Jersey","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","161","Kazakhstan","3.45",""
"1","Other wooded land","0","Carbon in above-ground biomass","2010","159","Estonia","1.814",""
"1","Other wooded land","0","Carbon in above-ground biomass","2010","60","Ethiopia","172",""
"1","Other wooded land","0","Carbon in above-ground biomass","2010","132","Denmark","0.3",""
"1","Other wooded land","0","Carbon in above-ground biomass","2010","53","Egypt","0.145",""
"1","Other wooded land","0","Carbon in above-ground biomass","2010","209","French Guiana","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2010","66","Gambia","4.02",""
"1","Other wooded land","0","Carbon in above-ground biomass","2010","7653870","Falkland Islands","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2010","125","Finland","3.71",""
"1","Other wooded land","0","Carbon in above-ground biomass","2010","113","Guam","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2010","174","Guatemala","23.6",""
"1","Other wooded land","0","Carbon in above-ground biomass","2010","7655146","Gibraltar","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2010","189","Guadeloupe","0.01",""
"1","Other wooded land","0","Carbon in above-ground biomass","2010","7657948","Holy See","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2010","149","Hungary","0",""
